CVE_ID,Title,CVSS_Score,EPSS_Score,Severity,Risk_Score,KEV,NVD_Status,Premium_Tier,Intelligence_Richness,Published_At,Source_URL,NVD_URL
CVE-2024-40766,"CVE-2024-40766: The Patch Fixed the Bug. Nobody Fixed the Configuration., (Tue, Jun 23rd)",9.3,0.4,CRITICAL,9.0,YES,PRELIMINARY,GOLD,8.5,2026-06-23T03:02:34Z,https://isc.sans.edu/diary/rss/33094,https://nvd.nist.gov/vuln/detail/CVE-2024-40766
CVE-2026-20253,Critical: 22nd June Threat Intelligence Report (CVE-2026-20253),9.8,0.1004,CRITICAL,9.0,YES,PRELIMINARY,GOLD,8.0,2026-06-22T16:00:02Z,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2026-20253,https://nvd.nist.gov/vuln/detail/CVE-2026-20253
CVE-2025-55182,Critical: Prevent data exfiltration: AWS egress controls for cloud workloads (CVE-2025-55182),10.0,0.9956,CRITICAL,9.0,YES,PRELIMINARY,GOLD,8.0,2026-06-22T15:53:05Z,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2025-55182,https://nvd.nist.gov/vuln/detail/CVE-2025-55182
CVE-2026-0257,Critical: Security Affairs newsletter Round 582 by Pierluigi Paganini INTERNATIONAL EDITIO (CVE-2026,9.1,0.1858,CRITICAL,9.0,YES,PRELIMINARY,GOLD,8.0,2026-06-21T17:19:49Z,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2026-0257,https://nvd.nist.gov/vuln/detail/CVE-2026-0257
CVE-2024-12802,"Critical: The Patch Fixed the Bug. Nobody Fixed the Configuration., (Tue, Jun 23rd) (CVE-2024-12802)",9.1,0.4,CRITICAL,9.5,YES,PRELIMINARY,GOLD,7.5,2026-06-23T03:02:34Z,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2024-12802,https://nvd.nist.gov/vuln/detail/CVE-2024-12802
CVE-2026-4020,Exploit for CVE-2026-4020 exploit,7.5,0.0298,HIGH,7.032,NO,PRELIMINARY,GOLD,6.5,2026-06-22T04:18:06Z,https://sploitus.com/exploit?id=A50E0607-56B1-5539-BE6C-2B6D351EEC35&utm_source=rss&utm_medium=rss,https://nvd.nist.gov/vuln/detail/CVE-2026-4020
CVE-2026-6653,"CVE-2026-6653: libxml2: use after free in xmlParseInternalSubset (>=2.9.11, <2.11.0)",7.5,0.0186,MEDIUM,5.042,NO,PRELIMINARY,GOLD,6.5,2026-06-22T16:07:32Z,https://seclists.org/oss-sec/2026/q2/996,https://nvd.nist.gov/vuln/detail/CVE-2026-6653
CVE-2026-54236,CVE-2026-54236 - vLLM: incomplete CVE-2026-22778 fix leaks PIL repr addresses via Anthropic router,5.5,0.0108,LOW,1.63,NO,PRELIMINARY,GOLD,6.5,2026-06-22T22:09:15Z,https://cvefeed.io/vuln/detail/CVE-2026-54236,https://nvd.nist.gov/vuln/detail/CVE-2026-54236
CVE-2025-20701,High-Severity: Apple Beats Studio Buds Vulnerability Allows Hackers to Eavesdrop on Users (CVE-2025-,8.8,0.043,HIGH,7.5,NO,PRELIMINARY,GOLD,6.0,2026-06-22T16:17:13Z,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2025-20701,https://nvd.nist.gov/vuln/detail/CVE-2025-20701
CVE-2021-23336,High-Severity: Python-Multipart: Semicolon treated as querystring field separator enables param (CVE,5.9,0.3733,HIGH,7.5,NO,PRELIMINARY,GOLD,5.5,2026-06-22T16:56:32Z,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-23336,https://nvd.nist.gov/vuln/detail/CVE-2021-23336
CVE-2025-62164,Medium Phishing [High EPSS] (CVE-2025-62164),8.8,0.83,MEDIUM,6.6,NO,PRELIMINARY,GOLD,5.5,2026-06-20T19:16:23Z,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2025-62164,https://nvd.nist.gov/vuln/detail/CVE-2025-62164
