Title,Risk Score,Severity,TLP,Confidence,Actor,CVSS,EPSS,KEV,Blog URL,Source URL,Timestamp
"Trellix discloses the breach of a code repository",5.5,MEDIUM,TLP:GREEN,0.43,CDB-RAT-GEN,,,NO,/reports/2026/05/intel--5c9f41903c3161945ac57fa3.html,https://securityaffairs.com/191584/data-breach/trellix-discloses-the-breach-of-a-code-repository.html,2026-05-02T13:49:35Z
"CVE-2026-6817 - Quiz Maker by AYS <= 6.7.1.29 - Unauthenticated Stored Cross-Site Scripting via 'rate_reason'",4.3,MEDIUM,TLP:GREEN,0.33,CDB-CVE-GEN,,0.04%,NO,/reports/2026/05/intel--f8a1c84747b505446e80f79a.html,https://cvefeed.io/vuln/detail/CVE-2026-6817,2026-05-02T13:53:16Z
"CVE-2026-7628 - crazyrabbitLTC mcp-code-review-server RepoMix repomix.ts executeRepomix command injection",4.2,MEDIUM,TLP:GREEN,0.213,CDB-CVE-GEN,,,NO,/reports/2026/05/intel--94cfebd40b832f67d948c1ed.html,https://cvefeed.io/vuln/detail/CVE-2026-7628,2026-05-02T13:53:12Z
"CVE-2026-4061 - Geo Mashup <= 1.13.18 - Unauthenticated Time-Based SQL Injection via 'map_post_type' Parameter",4.6,MEDIUM,TLP:GREEN,0.278,CDB-CVE-GEN,,0.07%,NO,/reports/2026/05/intel--497acc6a490273f7243ac974.html,https://cvefeed.io/vuln/detail/CVE-2026-4061,2026-05-02T13:53:38Z
"CVE-2026-6320 - Salon Booking System  Free Version <= 10.30.25 - Unauthenticated Arbitrary File Read via Booking File Field Path Traversal",3.5,LOW,TLP:CLEAR,0.233,CDB-CVE-GEN,,0.1%,NO,/reports/2026/05/intel--9d70d8470dd8ca02fcc21c8e.html,https://cvefeed.io/vuln/detail/CVE-2026-6320,2026-05-02T13:53:24Z
"CVE-2026-4790 - Premium Addons for Elementor <= 4.11.70 - Authenticated (Contributor+) Stored Cross-Site Scripting via 'custom_svg' Parameter",3.1,LOW,TLP:CLEAR,0.233,CDB-CVE-GEN,,0.03%,NO,/reports/2026/05/intel--f4ace6e27e6ec09233f065bd.html,https://cvefeed.io/vuln/detail/CVE-2026-4790,2026-05-02T13:53:27Z
"CVE-2026-4062 - Geo Mashup <= 1.13.18 - Unauthenticated Time-Based SQL Injection via 'object_ids' Parameter",3.1,LOW,TLP:CLEAR,0.233,CDB-CVE-GEN,,0.07%,NO,/reports/2026/05/intel--879d56a5e066c34a750d2901.html,https://cvefeed.io/vuln/detail/CVE-2026-4062,2026-05-02T13:53:34Z
"CVE-2026-6525 - NULL Pointer Dereference in Wireshark",2.8,LOW,TLP:CLEAR,0.233,CDB-CVE-GEN,,0.01%,NO,/reports/2026/05/intel--e629467dc583e25347188d92.html,https://cvefeed.io/vuln/detail/CVE-2026-6525,2026-05-02T13:53:20Z
"CVE-2026-4100 - Paid Memberships Pro <= 3.6.5 - Missing Authorization to Authenticated (Subscriber+) Stripe Webhook Deletion and Payment Processing Disruption",2.8,LOW,TLP:CLEAR,0.233,CDB-CVE-GEN,,0.04%,NO,/reports/2026/05/intel--17a54addd7da039670fb8e8e.html,https://cvefeed.io/vuln/detail/CVE-2026-4100,2026-05-02T13:53:31Z
"CVE-2026-4060 - Geo Mashup <= 1.13.18 - Unauthenticated Time-Based SQL Injection via 'sort' Parameter",3.1,LOW,TLP:CLEAR,0.233,CDB-CVE-GEN,,0.07%,NO,/reports/2026/05/intel--9b2ac8b7e54d24e0d66069e7.html,https://cvefeed.io/vuln/detail/CVE-2026-4060,2026-05-02T13:53:42Z
