ioc_type,value,confidence,risk_score,first_seen,tlp
domain,isc.sans.edu,42,9.5,2026-03-22T00:38:46Z,TLP:RED
domain,www.gsocket.io,42,9.5,2026-03-22T00:38:46Z,TLP:RED
domain,zone-xsec.com,42,9.5,2026-03-22T00:38:46Z,TLP:RED
hash,6ce69f0a0db6c5e1479d2b05fb361846957f5ad8170f5e43c7d66928a43f3286,50,9.5,2026-03-22T00:38:46Z,TLP:RED
hash,d94f75a70b5cabaf786ac57177ed841732e62bdcc9a29e06e5b41d9be567bcfa,50,9.5,2026-03-22T00:38:46Z,TLP:RED
url,https://isc.sans.edu,50,9.5,2026-03-22T00:38:46Z,TLP:RED
url,https://www.gsocket.io,50,9.5,2026-03-22T00:38:46Z,TLP:RED
url,https://www.virustotal.com/gui/file/6ce69f0a0db6c5e1479d2b05fb361846957f5ad8170f5e43c7d66928a43f3286/telemetry,50,9.5,2026-03-22T00:38:46Z,TLP:RED
url,https://zone-xsec.com/archive/attacker/%40bboscat,50,9.5,2026-03-22T00:38:46Z,TLP:RED
ipv4,188.214.30.5,48,10.0,2026-03-22T00:38:57Z,TLP:RED
ipv4,64.89.161.198,48,10.0,2026-03-22T00:38:57Z,TLP:RED
domain,isc.sans.edu,48,10.0,2026-03-22T00:38:57Z,TLP:RED
domain,www.shodan.io,48,10.0,2026-03-22T00:38:57Z,TLP:RED
hash,f1c0e109640d154246d27ff05074365740e994f142ef9846634bec7b18e3b715,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://isc.sans.edu,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://isc.sans.edu/diary/32788,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://isc.sans.edu/ipinfo/188.214.30.5,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://isc.sans.edu/ipinfo/64.89.161.198,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://isc.sans.edu/weblogs/sourcedetails.html?date=2026-02-19&amp;ip=64.89.161.198,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://www.linkedin.com/in/adam-thorman/,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://www.shodan.io/host/64.89.161.198,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://www.virustotal.com/gui/file/f1c0e109640d154246d27ff05074365740e994f142ef9846634bec7b18e3b715/detection,50,10.0,2026-03-22T00:38:57Z,TLP:RED
url,https://www.virustotal.com/gui/ip-address/64.89.161.198/detection,50,10.0,2026-03-22T00:38:57Z,TLP:RED
